y,x,"Re=100, u","Re=100, v","Re=400, u","Re=400,v","Re=1000,u","Re=1000,v","Re=3200,u","Re=3200,v","Re=5000,u","Re=5000,v","Re=7500,u","Re=7500,v","Re=10000,u","Re=10000,v"
1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0.9766,0.9688,0.84123,-0.05906,0.75837,-0.12146,0.65928,-0.21388,0.53236,-0.39017,0.48233,-0.49774,0.47244,-0.53858,0.47221,-0.54302
0.9688,0.9609,0.78871,-0.07391,0.68439,-0.15663,0.57492,-0.27669,0.48296,-0.47425,0.4612,-0.55069,0.47048,-0.55216,0.47783,-0.52987
0.9609,0.9531,0.73722,-0.08864,0.61756,-0.19254,0.51117,-0.33714,0.46547,-0.52357,0.45992,-0.55408,0.47323,-0.52347,0.4807,-0.49099
0.9531,0.9453,0.68717,-0.10313,0.55892,-0.22847,0.46604,-0.39188,0.46101,-0.54053,0.46036,-0.52876,0.47167,-0.4859,0.47804,-0.45863
0.8516,0.9063,0.23151,-0.16914,0.29093,-0.23827,0.33304,-0.5155,0.34682,-0.44307,0.33556,-0.41442,0.34228,-0.4105,0.34635,-0.41496
0.7344,0.8594,0.00332,-0.22445,0.16256,-0.44993,0.18719,-0.42665,0.19791,-0.37401,0.20087,-0.36214,0.20591,-0.36213,0.20673,-0.36737
0.6172,0.8047,-0.13641,-0.24533,0.02135,-0.38598,0.05702,-0.31966,0.07156,-0.31184,0.08183,-0.30018,0.08342,-0.30448,0.08344,-0.30719
0.5,0.5,-0.20581,0.05454,-0.11477,0.05186,-0.0608,0.02526,-0.04272,0.00999,-0.03039,0.00945,-0.038,0.00824,0.0311,0.00831
0.4531,0.2344,-0.2109,0.17527,-0.17119,0.30174,-0.10648,0.32235,-0.086636,0.28188,-0.07404,0.2728,-0.07503,0.27348,-0.0754,0.27224
0.2813,0.2266,-0.15662,0.17507,-0.32726,0.30203,-0.27805,0.33075,-0.24427,0.2903,-0.22855,0.28066,-0.23176,0.28117,-0.23186,0.28003
0.1719,0.1563,-0.1015,0.16077,-0.24299,0.28124,-0.38289,0.37095,-0.34323,0.37119,-0.3305,0.35368,-0.32393,0.3506,-0.32709,0.3507
0.1016,0.0938,-0.06434,0.12317,-0.14612,0.22965,-0.2973,0.32627,-0.41933,0.42768,-0.40435,0.42951,-0.38324,0.41824,-0.38,0.41487
0.0703,0.0781,-0.04775,0.1089,-0.10338,0.2092,-0.2222,0.30353,-0.37827,0.41906,-0.43643,0.43648,-0.43025,0.43564,-0.41657,0.43124
0.0625,0.0703,-0.04192,0.10091,-0.09266,0.19713,-0.20196,0.29012,-0.35344,0.40917,-0.42901,0.43329,-0.4359,0.4403,-0.42537,0.43733
0.0547,0.0625,-0.03717,0.09223,-0.08186,0.1836,-0.18109,0.27485,-0.32407,0.3956,-0.41165,0.42447,-0.43154,0.43979,-0.42735,0.43983
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
